panel,case_id,model,point_index,x_a,z_a,x_m,z_m,direction_displayed,arrow_x,arrow_z,force_x_n,force_y_n,force_z_n
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,55,-1.25,-0.8333333333333333,-0.0008125,-0.0005416666666666666,True,0.9999180846554959,-0.012799374159868484,2.9468503938906155e-05,1.714147421692013e-07,-3.772093070759573e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,56,-0.8333333333333333,-0.8333333333333333,-0.0005416666666666666,-0.0005416666666666666,True,0.9998244914644866,-0.018734627505789407,2.0592774169981768e-05,1.3022841879161886e-07,-3.858656761051681e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,57,-0.4166666666666665,-0.8333333333333333,-0.0002708333333333332,-0.0005416666666666666,True,0.999320886320569,-0.03684787868347735,1.058664077844264e-05,6.989086652733473e-08,-3.903603541260031e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,58,0.0,-0.8333333333333333,0.0,-0.0005416666666666666,True,4.27928428456567e-06,-0.9999999999908439,1.6709229972745074e-12,-5.32266471382189e-13,-3.9046786475154693e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,59,0.41666666666666696,-0.8333333333333333,0.00027083333333333354,-0.0005416666666666666,True,-0.9993208858483678,-0.036847891489657135,-1.0586637524186162e-05,-6.989192430001149e-08,-3.903603699830361e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,60,0.8333333333333335,-0.8333333333333333,0.0005416666666666668,-0.0005416666666666666,True,-0.999824491385005,-0.018734631747548948,-2.0592771173203314e-05,-1.3022945689504561e-07,-3.8586570734737625e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,61,1.25,-0.8333333333333333,0.0008125,-0.0005416666666666666,True,-0.9999180846214161,-0.01279937682227803,-2.9468501351894814e-05,-1.7141574825042541e-07,-3.772093524376216e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,62,1.666666666666667,-0.8333333333333333,0.0010833333333333335,-0.0005416666666666666,True,-0.9999511454511898,-0.009884670497973752,-3.6726021055733546e-05,-1.8762665730495191e-07,-3.630423531079323e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,63,2.083333333333334,-0.8333333333333333,0.001354166666666667,-0.0005416666666666666,True,-0.9999659491604646,-0.008252303897182437,-4.198315949941199e-05,-1.7739571902023654e-07,-3.464695883333857e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,64,2.5,-0.8333333333333333,0.001625,-0.0005416666666666666,True,-0.9999728239865003,-0.0073723326338170775,-4.498508432092941e-05,-1.353757159060012e-07,-3.3165401820827693e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,65,-2.5,-0.4166666666666665,-0.001625,-0.0002708333333333332,True,0.9998868786766091,-0.015040939144481099,4.496390916812174e-05,1.636436052111015e-07,-6.763759340364628e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,66,-2.0833333333333335,-0.4166666666666665,-0.0013541666666666667,-0.0002708333333333332,True,0.9998371220259599,-0.01804797547776286,4.1971349020145184e-05,1.9971978085919114e-07,-7.576212777030086e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,67,-1.6666666666666665,-0.4166666666666665,-0.0010833333333333333,-0.0002708333333333332,True,0.9997416955986369,-0.022727562156169945,3.6724833129717487e-05,2.0820965503570506e-07,-8.348815812176689e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,68,-1.25,-0.4166666666666665,-0.0008125,-0.0002708333333333332,True,0.9995339072843381,-0.03052815403696183,2.947399831996732e-05,1.8772347232236024e-07,-9.002063404149767e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,69,-0.8333333333333333,-0.4166666666666665,-0.0005416666666666666,-0.0002708333333333332,True,0.998939677232005,-0.046038258564128805,2.0601182563546394e-05,1.4164002956918167e-07,-9.494492922890416e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,70,-0.4166666666666665,-0.4166666666666665,-0.0002708333333333332,-0.0002708333333333332,True,0.9957561308681593,-0.0920311242921287,1.0592142727564303e-05,7.646607564985977e-08,-9.789613878957925e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,71,0.0,-0.4166666666666665,0.0,-0.0002708333333333332,True,1.6786339013995069e-06,-0.9999999999985911,1.6599474431959293e-12,-5.199302827267945e-13,-9.888680562269493e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,72,0.41666666666666696,-0.4166666666666665,0.00027083333333333354,-0.0002708333333333332,True,-0.9957561281328651,-0.09203115388739362,-1.0592139494609882e-05,-7.646710884917573e-08,-9.789614065976523e-07
a,hub_x+0.000_y+0.000_D1,Gor’kov + g,73,0.8333333333333335,-0.4166666666666665,0.0005416666666666668,-0.0002708333333333332,True,-0.9989396768446597,-0.04603826696876093,-2.0601179586560495e-05,-1.416410428790296e-07,-9.494493287855937e-07
